ident,name,cost,upkeep,prerequisite,replaces,terrain_prereq,race_restriction,description
IMPROVE_LIZARDMEN_SHAMANS,Lizardmen Shamans,60,0,,,,,Lizardmen Shamans Race Lizardmen Req. Town Buildings Shrine Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 / 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Def
IMPROVE_LIZARDMEN_SPEARMEN,Lizardmen Spearmen,10,0,,,,most Races,Lizardmen Spearmen Race Lizardmen Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 / 1 Melee Attack per figure 1 Defense per figure 3 Resistance 4 Hit
IMPROVE_LIZARDMEN_SWORDSMEN,Lizardmen Swordsmen,20,0,,,,all Races,"Lizardmen Swordsmen Race Lizardmen Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 / 1 Melee Attack per figure 3 Defense per figure 3 "
IMPROVE_LONGBOWMEN,Longbowmen,80,0,,,,,"Longbowmen Race High Elves Req. Town Buildings Barracks , Sawmill Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 3 Defen"
IMPROVE_MAGICIANS,Magicians,120,0,,,,,Magicians Req. Town Buildings Wizards' Guild Variants High Elf Magicians High Men Magicians Orc Magicians Beastmen Magicians Draconian Magicians Baseline Properties Construction Cost 120 Upkeep Cost 3
IMPROVE_MANTICORES,Manticores,160,0,,,,be built in Beastmen towns,"Manticores Race Beastmen Req. Town Buildings Barracks , Animists' Guild Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 2 Melee Attack per figure 5 Defense per figure 3 Resi"
IMPROVE_MARITIME_GUILD,Maritime Guild,400,0,,,TERRAIN_WATER_SHALLOW,by the Barbarians,Maritime Guild Races Barbarians High Men Orcs Construction Cost 400 Upkeep Cost 4 Sells for 133 Building Progression Units Unlocked Standard A Maritime Guild is a type of Town Building .
IMPROVE_MARKETPLACE,Marketplace,100,0,,,,,Marketplace Races All Construction Cost 100 Upkeep Cost 1 Sells for 33 Standard Effects Increases a town's Gold output by 50% of the current amount generated from Taxation and Minerals .
IMPROVE_MECHANICIANS_GUILD,Mechanicians' Guild,600,0,,,,be built by 6 races,Mechanicians' Guild Races High Elves High Men Nomads Orcs Beastmen Dark Elves Construction Cost 600 Upkeep Cost 5 Sells for 200 Standard Effects Increases Production by 50% of the total output of the 
IMPROVE_MERCHANTS_GUILD,Merchants' Guild,600,0,,,TERRAIN_WATER_SHALLOW,be built by the High Elves,Merchants' Guild Races High Elves High Men Nomads Orcs Dark Elves Draconians Construction Cost 600 Upkeep Cost 5 Sells for 200 Standard Effects Doubles the town's Gold income from Taxation and Mineral
IMPROVE_MINERS_GUILD,Miners' Guild,300,0,,,,,Miners' Guild Races All except Lizardmen and Trolls . Construction Cost 300 Upkeep Cost 3 Sells for 100 Standard Effects Increases Production by 50% of the total output of the town's citizens.
IMPROVE_MINOTAURS,Minotaurs,200,0,,,,be created at a Beastmen town,Minotaurs Race Beastmen Req. Town Buildings Armorers' Guild Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 1 Melee Attack per figure 12 * Defense per figure 4 Resistance 7 
IMPROVE_MOVE_FORTRESS,Move Fortress,0,0,,,,be cast on the overland map,"Move Fortress Realm Nature Spell Rarity Rare Spell Type Instant Casting Cost 200 Research Cost 1,500 Effects Moves the casting Wizard's Fortress to the targeted Town ."
IMPROVE_NIGHTBLADES,Nightblades,120,0,,,,be created at a Dark Elf town,Nightblades Race Dark Elves Req. Town Buildings Fighters' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 * Defense per figure 3 Resistance
IMPROVE_NIGHTMARES,Nightmares,160,0,,,,be created at a Dark Elf town,Nightmares Race Dark Elves Req. Town Buildings Fantastic Stable Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 3 Melee Attack per figure 8 * Ranged Attack per figure 5 * De
IMPROVE_NOMAD_BOWMEN,Nomad Bowmen,30,0,,,,,"Nomad Bowmen Race Nomads Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 Defense"
IMPROVE_NOMAD_PIKEMEN,Nomad Pikemen,80,0,,,,available to two Races,Nomad Pikemen Race Nomads Req. Town Buildings Fighters' Guild Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 5 * Defense per figure 3 Resistance 5 
IMPROVE_NOMAD_PRIESTS,Nomad Priests,100,0,,,,,Nomad Priests Race High Men Req. Town Buildings Parthenon Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 4 ( ) Defense 
IMPROVE_NOMAD_SETTLERS,Nomad Settlers,60,0,,,,real purpose is to create a new settlement for their Race,Nomad Settlers Race Nomads Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 4 Hit Points per figure 10 Unit Abilitie
IMPROVE_NOMAD_SPEARMEN,Nomad Spearmen,10,0,,,,most Races,Nomad Spearmen Race Nomads Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Points per
IMPROVE_NOMAD_SWORDSMEN,Nomad Swordsmen,20,0,,,,all Races,"Nomad Swordsmen Race Nomads Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance "
IMPROVE_ORACLE,Oracle,500,0,,,,be built by the High Men,Oracle Races High Men Nomads Orcs Beastmen Dark Elves Draconians Construction Cost 500 Upkeep Cost 4 Sells for 166 Standard Effects Reduces Unrest in this town by 2.
IMPROVE_ORC_BOWMEN,Orc Bowmen,30,0,,,,,"Orc Bowmen Race Orcs Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 Defense per"
IMPROVE_ORC_CAVALRY,Orc Cavalry,40,0,,,,,"Orc Cavalry Race Orcs Req. Town Buildings Barracks , Stables Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resistance 4 Hit"
IMPROVE_ORC_ENGINEERS,Orc Engineers,40,0,,,,,Orc Engineers Race Orcs Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 4 Hit P
IMPROVE_ORC_HALBERDIERS,Orc Halberdiers,40,0,,,,,Orc Halberdiers Race Orcs Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 4 Hit Points 
IMPROVE_ORC_MAGICIANS,Orc Magicians,120,0,,,,,Orc Magicians Race Orcs Req. Town Buildings Wizards' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 5 ( ) Defense
IMPROVE_ORC_SETTLERS,Orc Settlers,60,0,,,,real purpose is to create a new settlement for their Race,Orc Settlers Race Orcs Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 4 Hit Points per figure 10 Unit Abilities Cr
IMPROVE_ORC_SHAMANS,Orc Shamans,60,0,,,,,Orc Shamans Race Orcs Req. Town Buildings Shrine Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defense per figure
IMPROVE_ORC_SPEARMEN,Orc Spearmen,10,0,,,,most Races,Orc Spearmen Race Orcs Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Points per fig
IMPROVE_ORC_SWORDSMEN,Orc Swordsmen,20,0,,,,all Races,"Orc Swordsmen Race Orcs Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 4 Hi"
IMPROVE_PALADINS,Paladins,200,0,,,,,"Paladins Race High Men Req. Town Buildings Armorers' Guild , Cathedral Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 6 * Defense per figure 5 Res"
IMPROVE_PARTHENON,Parthenon,400,0,,,,be built by the Barbarians,Parthenon Races Barbarians Halflings High Men Nomads Orcs Beastmen Dark Elves Draconians Trolls Construction Cost 400 Upkeep Cost 3 Sells for 133 Standard Effects Reduces Unrest in this town by 1 and 
IMPROVE_PEGASAI,Pegasai,160,0,,,,has 2 figures,Pegasai Race High Elves Req. Town Buildings Fantastic Stable Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 3 Melee Attack per figure 5 * Ranged Attack per figure 3 * Defen
IMPROVE_PIKEMEN,Pikemen,80,0,,,,High Men Pikemen and Nomad Pikemen,Pikemen Req. Town Buildings Fighters' Guild Variants High Men Pikemen Nomad Pikemen Baseline Properties Construction Cost 80 Upkeep Cost 2 1 # of figures 8 Moves 1 Melee Attack per figure 5 * Defense 
IMPROVE_PRIESTS,Priests,100,0,,,,,Priests Req. Town Buildings Parthenon Variants High Men Priests Nomad Priests Beastmen Priests Dark Elf Priests Baseline Properties Construction Cost 100 Upkeep Cost 2 1 # of figures 4 Moves 1 Melee A
IMPROVE_RANGERS,Rangers,120,0,,,,be created at a Nomad town,"Rangers Race Nomads Req. Town Buildings Barracks , Animists' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Ranged Attack per figure 3 Def"
IMPROVE_SAGES_GUILD,Sages' Guild,120,0,,,,,"Sages' Guild Races All except Gnolls , Klackons , Lizardmen and Trolls ."
IMPROVE_SAWMILL,Sawmill,100,0,,,TERRAIN_FOREST,,Sawmill Races All except Lizardmen Construction Cost 100 Upkeep Cost 2 Sells for 33 Standard Effects Increases the total Production of a town's citizens by 25%.
IMPROVE_SETTLERS,Settlers,60,0,,,,units that can do so,Settlers Req. Town Buildings None Variants Barbarian Settlers Gnoll Settlers Halfling Settlers High Elf Settlers High Men Settlers Klackon Settlers Lizardmen Settlers Nomad Settlers Orc Settlers Beast
IMPROVE_SHAMANS,Shamans,50,0,,,,,Shamans Req. Town Buildings Shrine Variants Barbarian Shamans Halfling Shamans Lizardmen Shamans Orc Shamans Draconian Shamans Troll Shamans Baseline Properties Construction Cost 50 Upkeep Cost 1 1 # 
IMPROVE_SHIP_YARD,Ship Yard,200,0,,,TERRAIN_WATER_SHALLOW,about half of the races can build a Ship Yard,Ship Yard Races Barbarians Gnolls High Elves High Men Nomads Orcs Dark Elves Draconians Construction Cost 200 Upkeep Cost 2 Sells for 66 Building Progression Units Unlocked Standard Racial The Ship Ya
IMPROVE_SHIPWRIGHTS_GUILD,Shipwrights' Guild,100,0,,,,,Shipwrights' Guild Races All except Lizardmen Construction Cost 100 Upkeep Cost 1 Sells for 33 Building Progression Units Unlocked Standard A Shipwrights' Guild is a type of Town Building .
IMPROVE_SHRINE,Shrine,100,0,,,,,"Shrine Races All Construction Cost 100 Upkeep Cost 1 Sells for 33 Standard Effects Reduces Unrest in this town by 1, increases Power output by +1 , and enables the use of Nightshade when available."
IMPROVE_SLINGERS,Slingers,100,0,,,,,Slingers Race Halflings Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 2 Defense per figure 
IMPROVE_SMITHY,Smithy,40,0,,,,,Smithy Races All Construction Cost 40 Upkeep Cost 1 Sells for 13 Building Progression Units Unlocked + Standard A Smithy is a type of Town Building .
IMPROVE_SPEARMEN,Spearmen,10,0,,,,every Race except the Dwarves,Spearmen Req. Town Buildings None Variants Barbarian Spearmen Gnoll Spearmen Halfling Spearmen High Elf Spearmen High Men Spearmen Klackon Spearmen Lizardmen Spearmen Nomad Spearmen Orc Spearmen Beast
IMPROVE_STABLES,Stables,80,0,,,,,Stables Races All except Halflings and Dwarves Construction Cost 80 Upkeep Cost 2 Sells for 26 Building Progression Units Unlocked + Standard Racial + Racial Stables are a type of Town Building .
IMPROVE_STAG_BEETLE,Stag Beetle,160,0,,,,one figure per unit,"Stag Beetle Race Klackons Req. Town Buildings Armorers' Guild , Stables Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 2 Melee Attack per figure 15 * Defense per figure 7 R"
IMPROVE_STEAM_CANNON,Steam Cannon,180,0,,,,be created at a Dwarf town,Steam Cannon Race Dwarves Req. Town Buildings Miners' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 1 Ranged Attack per figure 12 Defense per figure 2 Resistance 9 H
IMPROVE_SWORDSMEN,Swordsmen,20,0,,,,every single Race in the game,"Swordsmen Req. Town Buildings Barracks , Smithy Variants Barbarian Swordsmen Gnoll Swordsmen Halfling Swordsmen High Elf Swordsmen High Men Swordsmen Klackon Swordsmen Lizardmen Swordsmen Nomad Swords"
IMPROVE_TEMPLE,Temple,200,0,,,,,Temple Races All except Klackons Construction Cost 200 Upkeep Cost 2 Sells for 66 Standard Effects Reduces Unrest in this town by 1 and increases Power output by +2 .
IMPROVE_TRIREME,Trireme,60,0,,,,be used when the wind is strong,Trireme Race All except Lizardmen Req. Town Buildings Shipwrights' Guild Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 2 Melee Attack per figure 6 Defense per figure 4 Resi
IMPROVE_TROLL_HALBERDIERS,Troll Halberdiers,120,0,,,,five units in the game capable of negating the First Strike ability possessed by many mounted units,Troll Halberdiers Race Trolls Req. Town Buildings Armory Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 6 Defense per figure 3 Resistance 7 Hit Po
IMPROVE_TROLL_SETTLERS,Troll Settlers,180,0,,,,real purpose is to create a new settlement for their Race,Troll Settlers Race Trolls Req. Town Buildings None Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 7 Hit Points per figure 40 Unit Abiliti
IMPROVE_TROLL_SHAMANS,Troll Shamans,180,0,,,,non-ship Troll unit with a Ranged Attack,Troll Shamans Race Trolls Req. Town Buildings Shrine Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 2 ( ) Defense per f
IMPROVE_TROLL_SPEARMEN,Troll Spearmen,30,0,,,,most Races,Troll Spearmen Race Trolls Req. Town Buildings None Construction Cost 30 Upkeep Cost 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 7 Hit Points per
IMPROVE_TROLL_SWORDSMEN,Troll Swordsmen,60,0,,,,,"Troll Swordsmen Race Trolls Req. Town Buildings Barracks , Smithy Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 5 Defense per figure 2 Resistance "
IMPROVE_UNIVERSITY,University,300,0,,,,be built by 7 of the races,University Races High Elves High Men Nomads Orcs Beastmen Dark Elves Draconians Construction Cost 300 Upkeep Cost 3 Sells for 100 Standard Effects Increases a town's Research Points output by +5 .
IMPROVE_WAR_COLLEGE,War College,500,0,,,,the 7 advanced races - including the High Elves,War College Races High Elves High Men Nomads Orcs Beastmen Dark Elves Draconians Construction Cost 500 Upkeep Cost 5 Sells for 166 Standard Effects All new Normal Units produced in this town start wit
IMPROVE_WAR_MAMMOTHS,War Mammoths,240,0,,,,be built in Troll towns,"War Mammoths Race Troll Req. Town Buildings Armorers' Guild , Stables Construction Cost 240 Upkeep Cost 5 1 Unit Properties # of figures 2 Moves 2 Melee Attack per figure 10 * Defense per figure 6 Res"
IMPROVE_WAR_TROLLS,War Trolls,160,0,,,,be built in Troll towns,War Trolls Race Troll Req. Town Buildings Fighters' Guild Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 8 * Defense per figure 4 Resistance 8 * H
IMPROVE_WARLOCKS,Warlocks,240,0,,,,be created at a Dark Elf town,Warlocks Race Dark Elves Req. Town Buildings Wizards' Guild Construction Cost 240 Upkeep Cost 5 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 7 Defense pe
IMPROVE_WARSHIP,Warship,160,0,,,,among the fastest units in the game,Warship Race Barbarians High Men Orcs Req. Town Buildings Maritime Guild Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 4 Melee Attack per figure 10 Ranged Attack per figur
IMPROVE_WIZARDS_GUILD,Wizards' Guild,1,0,,,,be built by the High Elves,"Wizards' Guild Races High Elves High Men Orcs Beastmen Dark Elves Draconians Construction Cost 1,000 Upkeep Cost 5 3 Sells for 333 Standard Effects Increases a town's Research Points output by +8 ."
IMPROVE_WOLF_RIDERS,Wolf Riders,100,0,,,,,"Wolf Riders Race Gnolls Req. Town Buildings Barracks , Stables Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 3 Melee Attack per figure 7 Defense per figure 3 Resistance 4 "
IMPROVE_WYVERN_RIDERS,Wyvern Riders,200,0,,,,be built in Orc towns,Wyvern Riders Race Orcs Req. Town Buildings Fantastic Stable Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 3 Melee Attack per figure 5 * Defense per figure 5 Resistance 7 
