element,gameplay,historical
TERRAIN_DEAD,,"Ground that has been used up, poisoned or cursed past the point where anything returns to it. Every civilisation eventually makes some."
TERRAIN_DESERT,,"Land defined by what it lacks. It has been crossed by every trading people in history and settled by very few of them."
TERRAIN_DESERT_GOOD_FOUR,,"The reason a caravan route runs where it does. Deserts hold their few valuable things where nobody would look without a guide."
TERRAIN_DESERT_GOOD_ONE,,"A find worth the journey across dry country, which is the only justification anyone has ever needed for the journey."
TERRAIN_FOREST,,"Timber, game and cover. Forests fed the shipwrights and hid the armies, and were felled by both."
TERRAIN_FOREST_GOOD_ONE,,"What the woods yield to those who know them, and withhold entirely from those who do not."
TERRAIN_FOREST_GOOD_TWO,,"A second gift of the deep woods, generally found by the people who live in them rather than by the people who claim them."
TERRAIN_GLACIER,,"Ice deep enough to have its own geography. It moves, slowly, and rearranges everything it passes over."
TERRAIN_GRASSLAND,,"Open, watered, level ground. Nearly every people who settled permanently did so on it, and nearly every war was about who would."
TERRAIN_GRASSLAND_GOOD_THREE,,"A staple crop that turns good land into crowded land. Populations rise to meet it within a generation."
TERRAIN_HILL,,"High enough to see from and to hold, low enough to farm. Fortresses cluster on hills for a reason older than any of them."
TERRAIN_HILL_GOOD_FOUR,,"Something worth digging for under rising ground, which is where most of the world's metal has always come from."
TERRAIN_HILL_GOOD_ONE,,"A resource of the uplands, valuable enough that the people below have repeatedly come up for it."
TERRAIN_JUNGLE,,"Dense, wet and hostile to everything with wheels. It is crossed rarely and controlled almost never."
TERRAIN_JUNGLE_GOOD_ONE,,"What grows in the deep green that grows nowhere else, and has therefore always been worth an expedition."
TERRAIN_MOUNTAIN,,"The oldest border there is. Mountains divide peoples more reliably than any treaty and require no enforcement."
TERRAIN_PLAINS,,"Open ground, easily farmed and easily ridden across. Its history is one of prosperity punctuated by cavalry."
TERRAIN_PLAINS_GOOD_FOUR,,"A prize of the open country, which is difficult to defend precisely because it is easy to reach."
TERRAIN_SWAMP,,"Water that has not decided to be a lake. Miserable to live in, and historically excellent at stopping armies."
TERRAIN_SWAMP_GOOD_FOUR,,"Something valuable in the wet ground, recovered by people willing to accept the fever that comes with it."
TERRAIN_SWAMP_GOOD_THREE,,"The marsh's compensation for everything else about the marsh."
TERRAIN_TUNDRA,,"Frozen a hand's depth down all year. It supports herds, herders, and almost nothing that stays put."
TERRAIN_WATER_BEACH,,"Where the sea gives ground. Every landing, every port and every invasion in history has begun on one."
TERRAIN_WATER_DEEP,,"Open ocean, out of sight of everything. It was the last part of the world to be mapped and the first to be feared."
TERRAIN_WATER_KELP,,"Underwater forest, sheltering the fish that feed the coast. Its value was understood by fishermen centuries before naturalists."
TERRAIN_WATER_REEF,,"Living stone just under the surface. It builds the richest waters anywhere and sinks the ships that come to use them."
TERRAIN_WATER_RIFT,,"A tear in the sea floor where heat comes up from below. Whatever lives down there evolved without reference to the sun."
TERRAIN_WATER_SHALLOW,,"Water a person can stand in. The whole of coastal fishing, and most of coastal defence, happens here."
TERRAIN_WATER_SHELF,,"The drowned edge of the land, shallow enough to work and rich enough to be worth fighting over."
TERRAIN_WATER_SHELF_GOOD_FOUR,,"A yield of the continental shelf, reachable by any fleet with the patience to look for it."
TERRAIN_WATER_SHELF_GOOD_ONE,,"What the shallow banks give up to anyone who has learned where the banks are."
TERRAIN_WATER_SHELF_GOOD_TWO,,"A second harvest of the shelf, and a common reason for two coastal peoples to discover they disagree about borders."
TERRAIN_WATER_VOLCANO,,"A mountain building itself out of the sea, one eruption at a time. New land, arriving violently."
TERRAIN_WHITE_HILL,,"Snow-covered upland, held mostly by people who were pushed there and stayed out of stubbornness."
TERRAIN_WHITE_MOUNTAIN,,"Peaks under permanent ice. They are crossed by perhaps one pass, and whoever holds that pass holds the region."
